"region","crop","1981","1985","1989","1990","1991","1992","1993","1994","1995","1999","2001","2002","2003","2005"
"0114 Upplands Väsby","total arable land",1715,1652,1614,1478,1419,1311,1288,1434,1398,1380,1310,1286,1281,1353
"0114 Upplands Väsby","winter wheat",80,40,477,520,180,213,195,194,230,291,393,330,433,408
"0114 Upplands Väsby","spring wheat",212,208,..,..,7,..,..,..,12,28,..,..,..,7
"0114 Upplands Väsby","rye",..,5,82,72,26,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","winter barley",..,..,..,..,..,..,6,6,..,..,..,..,..,..
"0114 Upplands Väsby","barley",500,586,264,213,328,106,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","spring barley",..,..,..,..,..,..,114,127,135,135,188,158,93,159
"0114 Upplands Väsby","oats",225,199,142,194,111,92,70,175,85,103,104,79,47,..
"0114 Upplands Väsby","mixed grain and triticale",..,..,..,7,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","ley for hay and forage plants",..,..,..,..,..,..,189,157,145,..,..,..,..,..
"0114 Upplands Väsby","triticale",..,..,..,..,..,..,..,..,..,3,..,..,..,..
"0114 Upplands Väsby","mixed grain",7,13,..,..,..,..,..,..,..,12,..,..,..,..
"0114 Upplands Väsby","field peas for cooking, fodder peas, vetches and field beans",..,11,22,38,4,..,..,..,..,67,29,61,70,..
"0114 Upplands Väsby","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","green fodder",43,63,..,2,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","utilized pasture",..,..,..,..,..,..,172,162,131,..,..,..,..,..
"0114 Upplands Väsby","utilized ley for hay and pasture",229,201,275,213,217,361,..,..,..,256,297,323,256,402
"0114 Upplands Väsby","not utilized ley for hay and pasture",32,11,..,11,5,17,38,34,19,8,..,..,..,..
"0114 Upplands Väsby","ley for seeds",..,..,..,..,2,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","table potatoes",2,3,2,2,1,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","winter rape",..,..,..,..,..,..,..,..,4,..,..,..,..,..
"0114 Upplands Väsby","spring rape",95,71,72,72,24,7,4,31,..,159,107,102,144,94
"0114 Upplands Väsby","winter turnip rape",..,..,14,2,6,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","spring turnip rape",81,169,105,57,81,67,87,71,78,38,..,..,..,..
"0114 Upplands Väsby","oil flax",..,..,..,..,..,..,..,..,..,4,..,..,20,..
"0114 Upplands Väsby","horticulture plants",..,..,..,..,..,..,..,..,..,12,..,..,..,..
"0114 Upplands Väsby","other crops",6,4,3,3,5,6,16,18,19,5,3,..,..,..
"0114 Upplands Väsby","energy forest",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0114 Upplands Väsby","fallow land",179,30,124,57,91,22,7,28,444,211,150,190,171,208
"0114 Upplands Väsby","other untilled arable land",24,38,32,15,331,420,391,431,96,49,..,6,23,..
"0114 Upplands Väsby","unspecified arable land",..,..,..,..,..,..,..,..,..,..,38,36,23,..
"0115 Vallentuna","total arable land",8716,8600,8432,8594,8215,8265,8286,8210,8055,8049,7768,7701,7718,7939
"0115 Vallentuna","winter wheat",462,477,1352,1601,766,1026,1376,878,936,815,1549,1434,1700,1518
"0115 Vallentuna","spring wheat",429,603,90,17,101,87,62,32,52,126,18,41,39,123
"0115 Vallentuna","rye",193,94,276,282,82,78,78,72,80,38,64,50,44,..
"0115 Vallentuna","winter barley",..,..,..,..,..,..,83,62,48,32,25,..,3,14
"0115 Vallentuna","barley",2270,2190,1234,1251,1358,1160,..,..,..,..,..,..,..,..
"0115 Vallentuna","spring barley",..,..,..,..,..,..,1047,1204,1186,1276,938,810,721,818
"0115 Vallentuna","oats",1967,2055,1519,1488,1374,1272,1086,1177,1069,1221,1029,1176,996,635
"0115 Vallentuna","mixed grain and triticale",..,..,..,19,32,44,..,..,..,..,..,..,..,..
"0115 Vallentuna","ley for hay and forage plants",..,..,..,..,..,..,1736,1698,1574,..,..,..,..,..
"0115 Vallentuna","triticale",..,..,..,..,..,..,26,52,125,27,84,51,97,156
